SIZE,MILLISECONDS
1,0.01183,0.009802,0.009784000000000001,0.009609999999999999,0.011344,0.010641999999999999,0.009441000000000001,0.011066000000000001,0.009419,0.010121
932068,745.6348270000001,744.20987,743.834945,744.837341,744.064091,743.656618,744.844199,743.8722700000001,744.980823,744.61478
1864136,1490.1234439999998,1489.05177,1488.0437450000002,1488.6937919999998,1489.22789,1488.6411950000002,1488.946114,1488.397078,1491.0472809999999,1489.249005
2796203,2236.7636740000003,2238.020598,2234.108699,2235.017092,2238.5040550000003,2235.108255,2237.095746,2236.340751,2237.9909019999996,2237.333863
3728271,2984.532169,2989.515688,2981.2010490000002,2982.378262,2990.5132439999998,2982.125795,2986.6564989999997,2985.992034,2985.708535,2986.469048
4660338,3733.551899,3741.114645,3730.037579,3729.354226,3742.9559440000003,3729.608565,3736.1075269999997,3737.395997,3734.530773,3735.495819
5592406,4481.926584,4492.813657,4480.94787,4477.335650999999,4496.739909,4476.692803999999,4487.021245,4484.937377,4485.632286999999,4486.154587
6524473,5232.542752,5243.968976,5231.285637,5225.501808,5250.558983,5224.050343999999,5237.2894989999995,5233.0707,5236.229093,5235.637435
7456541,5980.565678999999,5995.129937,5980.510332000001,5973.365663,6003.204084,5970.402053000001,5987.393949,5983.248748,5984.435631,5982.912888
8388608,6729.707579,6746.591955,6738.110391,6721.8904649999995,6756.098112,6717.330953,6739.035792000001,6731.899243,6732.30672,6730.5229979999995
