SIZE,MILLISECONDS
1,0.010367000000000001,0.025643999999999997,0.029622,0.027601,0.025426999999999998,0.028282,0.031219999999999998,0.02973,0.030574999999999998,0.029427
932068,3505.489558,2256.666068,2257.8777910000003,2258.13895,2247.54441,2277.4792110000003,2273.689422,2272.422193,2280.817836,2269.0776370000003
1864136,6436.638199,4637.208014999999,4639.893908,4653.792688,4629.698153,4694.996432,4685.054081,4688.122104,4697.211075,4676.974769
2796203,9323.028131,7059.908313,7069.436788,7084.51575,7056.223457,7146.264796,7148.161144000001,7136.369422000001,7152.396235,7127.231788
3728271,12331.621318,9590.088371,9606.588739,9621.271568,9595.976454,9704.150025,9711.806898,9698.562612,9725.040055,9678.662880000002
4660338,15322.158046,12113.154765000001,12138.119773,12151.399022,12133.134915999999,12263.236475,12285.267959,12251.205868000001,12288.427857,12220.012687
5592406,18273.836307999998,14596.768185,14631.20139,14644.24787,14645.105327,14789.333561000001,14811.349812999999,14756.608509,14810.944916999999,14722.894465
6524473,21369.546775,17212.143884,17255.453972,17262.109627,17270.941221,17425.874812,17464.624563999998,17382.928112,17453.818116000002,17345.403107000002
7456541,24515.329211,19840.833234,19892.567522999998,19891.779728,19916.145092,20086.634956,20137.295695,20029.8938,20123.319498,19993.756122000003
8388608,27942.671791,22678.023448,22744.929377,22736.006862,22767.165129,22956.338089,23039.867484000002,22888.040934,23012.576607,22857.95518
