DISTANCE,ACCESS TIME
1,9444.967215,9437.303200999999,9433.580615,9362.614151,9445.738938999999
2,9442.846644,9498.019794,9445.741371,9343.879141000001,9444.781539000001
3,9442.468424,9487.089809000001,9430.376631,9427.692643999999,9447.121181
5,9444.987209,9490.859629,9444.600021,9430.860366,9431.553232
9,9442.49148,9474.428436,9444.9845,9357.545129,9427.616559
17,9434.604976,9486.691058,9343.154485,9359.502374,9439.542293999999
33,9450.004375,9433.568675,9476.693537000001,9341.978492,9426.266109
65,9448.036022,9473.513051999998,9444.959863,9431.891155,9433.622617
129,9452.896847,9472.111468000001,9433.336577,9341.819057,9445.382934000001
257,9444.006669,9443.044437999999,9344.976929,9342.030236999999,9445.185999
513,9431.677331,9439.940918,9343.943357999999,9342.382719000001,9484.117585999998
1025,9483.681698,9433.897938999999,9464.640664,9429.719117,9444.478813
2049,9432.006753,9431.836007,9479.896696,9339.827817,9431.389945
4097,9433.557637,9426.590714,9455.072375,9434.523276,9430.407193
8193,9433.993344,9429.420276,9336.118950999999,9354.416787,9418.148916999999
16385,9463.112632999999,9469.12031,9409.793641,9408.433756999999,9410.808048
32769,9415.852008,9404.044787,9405.131395999999,9316.799747,9409.785217
65537,9375.524028000002,9354.469876000001,9358.014217,9366.644717000001,9409.114945000001
131073,9342.135651,9288.315187999999,9326.624857,9287.972527,9294.823412
262145,9140.313762,9180.941827999999,9149.95535,9053.383623,9134.738813999998
524289,8862.543288,8839.554873,8842.000997,8811.43525,8842.989915999999
1048577,8276.36923,8264.947672,8250.249539,8188.047374,8265.125304
2097153,7111.010775999999,7076.741426,7070.943453,7070.911455,7072.7263729999995
4194305,4747.895633,4721.258813,4723.445369,4725.105689,4725.960013
4194306,4719.698635,4715.338622,4743.073044,4724.761235,4743.343519
4194307,4727.1380690000005,4745.62843,4733.834471,4672.372294,4716.402303000001
4194309,4718.321817,4745.018883999999,4724.013448,4714.258991000001,4719.336249
4194313,4727.905216,4723.551047,4743.937099000001,4683.869078,4723.399891
4194321,4719.011007,4736.363053,4742.988607,4674.444576999999,4723.735208
4194337,4726.652597,4735.2964919999995,4735.683104000001,4716.221941,4741.764185
4194369,4727.556092,4742.273104,4682.176579,4697.243963999999,4722.306047
4194433,4725.8010460000005,4720.270501,4734.088173,4724.152405,4723.087075
4194561,4726.842961,4735.225662999999,4740.024405,4723.198691,4715.7233
4194817,4722.552162,4743.325737,4701.976758000001,4679.213911000001,4723.240541
4195329,4719.546354,4723.535874,4715.67745,4713.8328360000005,4712.963335
4196353,4725.00112,4743.8589759999995,4712.694681,4675.572975,4720.701817
4198401,4741.560023,4720.424957,4715.383833,4717.684157,4711.31354
4202497,4708.011196,4731.4403569999995,4708.088315,4666.486368,4714.670411
4210689,4710.148155,4697.4220860000005,4696.985952,4654.109826999999,4698.776905000001
4227073,4691.265335,4702.333417999999,4680.682334,4687.982935999999,4679.4885939999995
4259841,4653.363128999999,4646.174042000001,4667.681049,4606.647079,4653.078839
4325377,4580.222537,4568.013258,4586.622251,4534.157924,4575.853224
4456449,4433.272166000001,4448.452923000001,4428.28366,4421.619389,4428.340977
4718593,4136.831606,4126.422101,4088.7260499999998,4089.0797850000004,4124.664148
5242881,3537.6057429999996,3539.194515,3556.549194,3510.5344929999997,3536.547807
6291457,2357.24852,2366.942082,2337.1198080000004,2360.627664,2360.2874789999996
6291458,2362.0579190000003,2370.414827,2334.822804,2339.810663,2358.470127
6291459,2358.21529,2360.646179,2355.6718990000004,2335.1062549999997,2360.14767
6291461,2358.4149709999997,2366.0829169999997,2355.425247,2339.502321,2355.9420720000003
6291465,2363.1877790000003,2373.193321,2356.847151,2339.691216,2360.816675
6291473,2357.64527,2356.6842030000003,2356.506832,2334.19762,2365.6235070000002
6291489,2357.011408,2370.204947,2355.750397,2338.298565,2360.166094
6291521,2361.455384,2366.486193,2356.852819,2339.186767,2359.593637
6291585,2357.7276770000003,2372.3810479999997,2360.2726230000003,2356.043183,2360.477702
6291713,2361.8991340000002,2372.555037,2366.3452039999997,2334.567068,2360.53151
6291969,2357.978701,2360.2196129999998,2360.196788,2338.619531,2360.040736
6292481,2356.093194,2366.656579,2364.245139,2354.298156,2359.5339019999997
6293505,2359.25071,2369.136488,2367.544123,2353.696429,2367.5802280000003
6295553,2355.247757,2351.405448,2356.2749449999997,2331.341436,2355.590336
6299649,2353.380116,2361.831176,2325.686524,2335.870133,2351.532006
6307841,2353.55307,2351.706043,2347.216693,2341.8555109999998,2342.426056
6324225,2320.8012769999996,2329.532946,2323.468605,2298.623524,2332.794364
6356993,2288.694711,2293.270524,2286.000477,2286.616968,2282.6780750000003
6422529,2211.057743,2223.439862,2222.2636899999998,2212.4658879999997,2209.6940839999997
6553601,2068.465658,2074.8173540000003,2070.28599,2062.32178,2074.154713
6815745,1768.0707679999998,1771.1047760000001,1767.139089,1767.134548,1767.160493
7340033,1186.505943,1185.671672,1180.5381969999999,1169.336547,1180.376859
7340034,1178.5006059999998,1180.927612,1185.078938,1180.282264,1180.491817
7340035,1181.2832660000001,1180.5248729999998,1178.2621780000002,1178.696239,1180.60216
7340037,1181.862128,1183.661348,1168.036537,1169.191486,1180.7102209999998
7340041,1179.151113,1185.983617,1185.358936,1180.606466,1185.019456
7340049,1180.6122639999999,1180.210748,1183.265641,1168.333559,1180.334936
7340065,1178.6946659999999,1178.066399,1178.011659,1180.377483,1180.3936569999998
7340097,1179.215097,1178.168109,1178.105663,1169.577748,1185.19323
7340161,1182.415331,1180.364634,1183.103057,1180.632128,1180.3602720000001
