SIZE,MILLISECONDS
1,0.044768,0.010180999999999999,0.009937,0.010233,0.009840999999999999,0.009726,0.009484,0.009802,0.01059,0.010505
932068,4559.304315,4577.252393,4559.544716,4565.606304999999,4575.652022,4566.240860999999,4568.819189,4570.529259999999,4580.75121,4553.348439
1864136,9388.72156,9405.082172,9382.481726,9368.844741,9409.903592,9382.629676999999,9399.034104,9399.941870999999,9425.276184,9356.552308
2796203,14274.171687999999,14318.76156,14285.010704,14256.529206000001,14328.749797,14284.691149,14315.624087,14309.685466,14348.04168,14221.393784
3728271,19348.851181,19432.525438,19401.566035,19367.556476,19451.417471999997,19402.414597,19454.368484000002,19420.476177,19466.118469,19285.698346
4660338,24394.507276,24485.916726,24495.6259,24425.901967,24521.532138,24468.711338,24532.214375,24472.386495000002,24514.741048,24324.496516
5592406,29445.473877,29495.654162,29527.944756,29427.568656,29545.131478,29482.65916,29535.713394000002,29477.827484999998,29514.778978,29346.759209
6524473,34683.422706,34693.169214,34801.976096,34646.129268,34760.701986,34705.234382,34755.491316,34695.243355,34643.156077,34573.946748999995
7456541,39950.92754,39937.229731,40103.409701,39895.381051,40038.030269,39960.93018,40014.751628,39949.711806,39823.855089000004,39843.929855999995
8388608,45480.300221,45444.023442000005,45649.141043999996,45406.581346,45597.503287,45458.404651,45501.707567000005,45454.614601,45259.242469,45330.682939000006
