SIZE,MILLISECONDS
1,0.076694,0.07380800000000001,0.07914700000000001,0.094417,0.078354,0.07989,0.069805,0.073339,0.076667,0.06718099999999999,0.086993,0.073074
116509,20110.144977000004,20026.807872,20257.121272999997,20592.648717,20613.442503,19921.762995,20037.969574000002,20080.909077,19987.83095,20564.539359000002,20164.906077,20446.376232000002
233018,49336.798619999994,50317.778363,50580.038274,49934.37635,52197.680309,49851.781903999996,50054.469529,50232.734449,49972.739208,49811.412593,49340.16757,51191.955821999996
349526,82695.48824600001,83553.169987,84784.28760899999,83705.67578300001,85145.67452300001,84175.905432,83037.461545,82472.833067,83257.47737000001,83392.15890800001,82167.442369,83324.534927
466034,121748.51698999999,123720.32608,124539.825408,122660.738248,124565.309732,121871.773933,122474.671272,120994.811658,121957.87992800001,121962.60128300001,120549.496653,120253.93549799999
582543,160870.822436,162787.03300099997,162494.529179,162492.789293,162743.981596,160617.592263,160979.036406,159174.849688,160338.557523,159913.325694,159876.989014,157737.101391
699051,202266.882136,203141.246218,204693.88278400002,203545.05567899998,203647.407733,200344.08894100002,201512.177349,200252.026035,199529.845296,199895.371546,199145.789416,198284.273693
815559,241556.91382800002,243138.444054,244665.211263,242207.68175999998,243568.300397,239808.14344299998,239673.672724,239761.289708,237884.73437700002,239440.927829,236844.451014,236422.217549
932068,279616.10071499995,282922.956475,285584.281953,281203.962439,281277.57521700003,278335.194809,277902.86692,277908.95938,276283.611904,278677.443165,275912.35023900005,275867.39265
1048576,319134.111446,320755.5488,324658.855812,320597.346818,318995.38157200004,318487.75529400003,316474.248518,316194.25935799995,315164.81114600005,317592.330079,314738.35374,315464.578821
