SIZE,MILLISECONDS
1,0.037048000000000005,0.038042,0.036465000000000004,0.058264,0.038863999999999996,0.035487000000000005,0.036171,0.035722000000000004,0.035503,0.036475
932068,7767.12368,7788.901444,7808.619534,7807.146841,7802.034839,7806.127606,7881.747916,7804.524297,7810.029973000001,7811.788919
1864136,16819.602967,17618.934169,17638.166272,17617.162063,17643.697051,17629.653595,17250.139899,17301.126116,17632.878017000003,17309.853689
2796203,26937.849463,26974.395588,27597.326393,27495.779726,27604.731111,27399.011226,26417.456594,26944.407814,27602.842375,27653.626995000002
3728271,37199.210989,37584.158999,37587.135556,38000.303947,37583.61327,37813.040493,37009.194519000004,37087.7558,38066.168123,37577.43117
4660338,51561.035203,53292.549384000005,53236.518698,52745.423716,52778.021289,53611.558518,54380.155498,53947.151207999996,53254.05162,53273.720204000005
5592406,67933.875271,75644.75958900001,76521.181963,75250.84346799999,75266.114084,75940.397746,77347.52687100001,77125.24946400001,75988.704934,76243.77941
6524473,96080.213319,107142.253112,107294.547892,107052.755672,108767.68652799999,108913.650465,122021.52994499999,110347.504341,107882.047883,107419.69560400001
7456541,142247.486555,120898.662391,120640.787155,121301.927509,157229.949472,121754.071046,135632.656128,146706.773985,121052.24702699999,120577.991625
8388608,158126.943095,135823.165251,135303.393415,135512.916549,172191.39506,136195.415485,150362.545952,175846.604516,137438.928579,134869.25456799997
