SIZE,MILLISECONDS
1,13.323497,3.794006
116509,385099.936038,365870.293208
233018,773243.318259,730759.21688
349526,1161192.270918,1094861.38695
466034,1550668.313691,1459865.2339630001
582543,1942948.273813,1826057.030854
699051,2334144.217799,2192770.030836
815559,2725291.150612,2559626.788231
932068,3118176.784225,2928396.666518
1048576,3512552.321968,3299702.270577
